Record#,tag,light status,distance,top_red,top_green,top_blue,top_distance,mid_red,mid_green,mid_blue,mid_distance,bottom_red,bottom_green,bottom_blue,bottom_distance
1,No Rings,On,523.0 mm,0.0062,0.0114,0.0092,99.4450,0.0011,0.0016,0.0009,103.8545,0.0076,0.0135,0.0087,141.2778
2,No Rings,On,511.0 mm,0.0064,0.0117,0.0094,95.4463,0.0011,0.0018,0.0014,116.1694,0.0076,0.0135,0.0087,135.2804
3,No Rings,On,197.0 mm,0.0062,0.0114,0.0092,94.1946,0.0014,0.0025,0.0021,107.0564,0.0119,0.0211,0.0137,91.8015
4,No Rings,On,8191.0 mm,0.0066,0.0121,0.0098,102.3350,0.0014,0.0018,0.0014,105.4273,0.0071,0.0124,0.0080,152.4000
5,No Rings,On,189.0 mm,0.0064,0.0114,0.0094,99.4450,0.0014,0.0025,0.0021,114.2047,0.0126,0.0222,0.0149,94.1946
6,No Rings,On,8191.0 mm,0.0064,0.0119,0.0094,94.1946,0.0011,0.0016,0.0009,112.3153,0.0066,0.0121,0.0078,138.2038
7,No Rings,On,504.0 mm,0.0066,0.0119,0.0098,95.4463,0.0014,0.0021,0.0016,107.0564,0.0080,0.0140,0.0092,124.8843
8,No Rings,On,8190.0 mm,0.0087,0.0156,0.0126,95.4463,0.0021,0.0037,0.0027,116.1694,0.0085,0.0149,0.0094,132.4965
9,One Ring,On,220.0 mm,0.0071,0.0121,0.0098,89.5447,0.0215,0.0197,0.0053,71.7577,0.0538,0.0577,0.0190,26.7135
10,One Ring,On,233.0 mm,0.0073,0.0121,0.0094,94.1946,0.0046,0.0050,0.0021,87.4124,0.0119,0.0174,0.0094,91.8015
11,One Ring,On,236.0 mm,0.0073,0.0124,0.0098,90.6568,0.0014,0.0021,0.0014,108.7451,0.0080,0.0142,0.0087,138.2038
12,One Ring,On,456.0 mm,0.0066,0.0119,0.0094,95.4463,0.0014,0.0018,0.0014,118.2142,0.0078,0.0140,0.0087,135.2804
13,One Ring,On,298.0 mm,0.0071,0.0121,0.0094,99.4450,0.0023,0.0030,0.0016,108.7451,0.0094,0.0151,0.0092,110.4968
14,One Ring,On,251.0 mm,0.0071,0.0119,0.0094,98.0695,0.0071,0.0066,0.0023,91.8015,0.0167,0.0222,0.0105,67.4797
15,One Ring,On,422.0 mm,0.0066,0.0121,0.0098,98.0695,0.0030,0.0034,0.0016,105.4273,0.0096,0.0156,0.0092,118.2142
16,One Ring,On,472.0 mm,0.0066,0.0119,0.0094,98.0695,0.0014,0.0021,0.0014,118.2142,0.0080,0.0140,0.0087,129.8418
17,One Ring,On,431.0 mm,0.0064,0.0117,0.0094,96.7373,0.0014,0.0018,0.0014,122.5657,0.0078,0.0137,0.0087,127.3072
18,One Ring,On,363.0 mm,0.0064,0.0117,0.0094,98.0695,0.0014,0.0018,0.0014,114.2047,0.0078,0.0137,0.0087,135.2804
19,One Ring,On,254.0 mm,0.0066,0.0119,0.0094,94.1946,0.0014,0.0018,0.0014,120.3444,0.0080,0.0140,0.0087,132.4965
20,One Ring,On,234.0 mm,0.0076,0.0126,0.0098,96.7373,0.0018,0.0025,0.0014,100.8660,0.0087,0.0146,0.0087,129.8418
21,One Ring,On,237.0 mm,0.0073,0.0124,0.0094,96.7373,0.0048,0.0053,0.0021,98.0695,0.0119,0.0176,0.0094,99.4450
22,One Ring,On,222.0 mm,0.0071,0.0119,0.0094,100.8660,0.0236,0.0217,0.0055,78.2906,0.0714,0.0737,0.0229,21.4184
23,One Ring,On,235.0 mm,0.0073,0.0124,0.0098,98.0695,0.0025,0.0027,0.0014,95.4463,1.0000,0.9602,0.2300,6.3576
24,One Ring,On,232.0 mm,0.0073,0.0121,0.0098,89.5447,0.0021,0.0023,0.0014,103.8545,1.0000,1.0000,0.3433,6.3576
25,One Ring,On,239.0 mm,0.0071,0.0121,0.0098,92.9802,0.0014,0.0021,0.0014,110.4968,0.0080,0.0140,0.0087,122.5657
26,One Ring,On,331.0 mm,0.0064,0.0114,0.0092,100.8660,0.0011,0.0016,0.0014,120.3444,0.0078,0.0135,0.0087,135.2804
27,One Ring,On,266.0 mm,0.0064,0.0114,0.0092,90.6568,0.0011,0.0016,0.0014,118.2142,0.0078,0.0137,0.0087,122.5657
28,One Ring,On,237.0 mm,0.0066,0.0117,0.0092,92.9802,0.0014,0.0021,0.0014,102.3350,0.0080,0.0140,0.0087,120.3444
